283.093, 130.832, 8.472,  7.085 False
282.811, 130.844, 8.466,  7.118 False
282.529, 130.855, 8.462,  7.151 False
282.247, 130.865, 8.460,  7.184 False
281.965, 130.873, 8.458,  7.217 False
281.684, 130.881, 8.456,  7.250 False
281.402, 130.886, 8.454,  7.283 False
281.120, 130.891, 8.452,  7.316 False
280.839, 130.894, 8.449,  7.349 False
280.557, 130.894, 8.444,  7.382 False
280.276, 130.890, 8.438,  7.415 False
279.995, 130.884, 8.434,  7.448 False
279.714, 130.876, 8.434,  7.481 False
279.433, 130.865, 8.432,  7.514 False
279.152, 130.852, 8.431,  7.547 False
278.872, 130.841, 8.434,  7.580 False
278.591, 130.830, 8.434,  7.613 False
278.310, 130.818, 8.432,  7.646 False
278.029, 130.807, 8.430,  7.679 False
277.748, 130.795, 8.427,  7.712 False
277.468, 130.780, 8.423,  7.745 False
277.188, 130.763, 8.420,  7.778 False
276.908, 130.746, 8.418,  7.811 False
276.628, 130.729, 8.417,  7.844 False
276.348, 130.710, 8.414,  7.877 False
276.068, 130.691, 8.413,  7.910 False
275.789, 130.673, 8.412,  7.943 False
275.509, 130.654, 8.411,  7.976 False
275.229, 130.636, 8.409,  8.009 False
274.949, 130.617, 8.407,  8.042 False
274.670, 130.597, 8.405,  8.075 False
274.390, 130.578, 8.404,  8.108 False
274.111, 130.559, 8.402,  8.141 False
273.832, 130.540, 8.400,  8.174 False
273.552, 130.520, 8.399,  8.207 False
273.273, 130.501, 8.397,  8.240 False
272.994, 130.481, 8.395,  8.273 False
272.715, 130.461, 8.394,  8.306 False
272.436, 130.441, 8.392,  8.339 False
272.157, 130.422, 8.391,  8.372 False
271.878, 130.401, 8.390,  8.405 False
271.599, 130.381, 8.388,  8.438 False
271.320, 130.361, 8.387,  8.471 False
271.041, 130.341, 8.385,  8.504 False
270.763, 130.321, 8.384,  8.537 False
270.484, 130.301, 8.383,  8.570 False
270.205, 130.281, 8.382,  8.603 False
269.927, 130.261, 8.380,  8.636 False
269.648, 130.241, 8.379,  8.669 False
269.369, 130.221, 8.378,  8.702 False
269.091, 130.201, 8.377,  8.735 False
268.812, 130.181, 8.376,  8.768 False
268.534, 130.162, 8.375,  8.801 False
268.255, 130.142, 8.374,  8.834 False
267.977, 130.122, 8.373,  8.867 False
267.699, 130.103, 8.372,  8.900 False
267.420, 130.084, 8.371,  8.933 False
267.142, 130.065, 8.370,  8.966 False
266.864, 130.046, 8.369,  8.999 False
266.585, 130.027, 8.368,  9.032 False
266.307, 130.008, 8.367,  9.065 False
266.029, 129.989, 8.366,  9.098 False
265.750, 129.971, 8.366,  9.131 False
265.472, 129.952, 8.365,  9.164 False
265.194, 129.934, 8.364,  9.197 False
264.916, 129.915, 8.363,  9.230 False
264.638, 129.897, 8.362,  9.263 False
264.359, 129.879, 8.362,  9.296 False
264.081, 129.862, 8.361,  9.329 False
263.803, 129.844, 8.360,  9.362 False
263.525, 129.827, 8.360,  9.395 False
263.247, 129.809, 8.359,  9.428 False
262.969, 129.792, 8.358,  9.461 False
262.691, 129.775, 8.358,  9.494 False
262.413, 129.759, 8.357,  9.527 False
262.135, 129.743, 8.356,  9.560 False
261.857, 129.727, 8.356,  9.593 False
261.578, 129.712, 8.355,  9.626 False
261.300, 129.696, 8.355,  9.659 False
261.022, 129.681, 8.354,  9.692 False
260.744, 129.666, 8.353,  9.725 False
260.466, 129.651, 8.353,  9.758 False
260.188, 129.637, 8.353,  9.791 False
259.910, 129.622, 8.352,  9.824 False
259.632, 129.608, 8.352,  9.857 False
259.354, 129.595, 8.351,  9.890 False
259.076, 129.581, 8.351,  9.923 False
258.798, 129.568, 8.350,  9.956 False
258.520, 129.555, 8.350,  9.989 False
258.242, 129.542, 8.349, 10.022 False
257.964, 129.530, 8.349, 10.055 False
257.686, 129.517, 8.349, 10.088 False
257.408, 129.506, 8.348, 10.121 False
257.130, 129.494, 8.348, 10.154 False
256.852, 129.483, 8.347, 10.187 False
256.574, 129.472, 8.347, 10.220 False
256.296, 129.462, 8.347, 10.253 False
256.018, 129.451, 8.346, 10.286 False
255.740, 129.441, 8.346, 10.319 False
255.462, 129.430, 8.346, 10.352 False
255.184, 129.420, 8.345, 10.385 False
254.906, 129.410, 8.345, 10.418 False
254.628, 129.402, 8.345, 10.451 False
254.350, 129.392, 8.344, 10.484 False
254.072, 129.384, 8.344, 10.517 False
253.794, 129.375, 8.344, 10.550 False
253.516, 129.366, 8.344, 10.583 False
253.238, 129.358, 8.343, 10.616 False
252.960, 129.350, 8.343, 10.649 False
252.682, 129.343, 8.342, 10.682 False
252.404, 129.336, 8.342, 10.715 False
252.126, 129.329, 8.342, 10.748 False
251.848, 129.322, 8.342, 10.781 False
251.570, 129.315, 8.342, 10.814 False
251.292, 129.309, 8.342, 10.847 False
251.014, 129.303, 8.341, 10.880 False
250.736, 129.298, 8.341, 10.913 False
250.458, 129.292, 8.341, 10.946 False
